ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
65536,65536,247.13,64,11.44,926033292
131072,65536,165.22,64,9.95,1828070796
262144,131072,109.27,64,7.94,3632145804
